,id_orig,year_orig,year,author_orig,author,title_orig,title,genre,source,title_short
0,SC0002,1785,1785,"Blower, Elizabeth","Blower, Elizabeth",Maria a novel In two volumes By the author of George Bateman,Maria: a novel. In two volumes. By the author of George Bateman. ...,,,Maria
1,SC0003,1785,1785,"Boys, S. Mrs","Boys, S., Mrs.",The coalition or family anecdotes A novel By Mrs Boys In two volumes,The coalition: or family anecdotes. A novel. By Mrs. Boys. In two volumes. ...,,,The coalition
7,SC0237,1800,1766,Goldsmith Oliver,"Goldsmith, Oliver",The vicar of Wakefield a tale Supposed to be written by himself In two volumes,The vicar of Wakefield: a tale. Supposed to be written by himself. In two volumes. ...,,,The vicar of Wakefield
8,SC0005,1785,1785,Mathews Charles Mrs,"Mathews, Charles, Mrs.",Constance a novel The first literary attempt of a young lady In four volumes,Constance: a novel. The first literary attempt of a young lady. In four volumes. ...,,,Constance
9,SC0006,1785,1785,Unknown,Unknown,The fatal marriage a novel In two volumes,The fatal marriage: a novel. In two volumes. ...,,,The fatal marriage
10,SC0007,1786,1786,Author of The nabob,Author of The nabob,Arpasia or the wanderer A novel By the author of The nabob In two volumes,"Arpasia; or, the wanderer. A novel. By the author of The nabob. In two volumes. ...",,,Arpasia
11,SC0009,1786,1786,"Beckford, William","Beckford, William Thomas",Vathek Translated from the original French Third Edition Revised and Corrected,"Vathek; Translated from the original French. Third Edition, Revised and Corrected.",Gothic,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",Vathek
12,SC0011,1786,1786,"Bennett, Agnes Maria","Bennett, Anna Maria",Juvenile indiscretions A novel In five volumes By the author of Anna or the Welch heiress,"Juvenile indiscretions. A novel. In five volumes. By the author of Anna, or the Welch heiress. ...",,,Juvenile indiscretions
15,SC0159,1796,1782,"Burney, Fanny","Burney, Fanny",Cecilia or memoirs of an heiress By the author of Evelina,"Cecilia, or Memoirs of an Heiress. By the Author of Evelina. In Five Volumes",Courtship,"Green, Katherine Sobba. �Chronology of Courtship Novels.� The Courtship Novel, 1740-1820: a Feminized Genre. Lexington: University Press of Kentucky, 1991. 163-164.",Cecilia
16,SC0013,1786,1786,Lemoine Henry,"Lemoine, Henry",The Kentish curate or the history of Lamuel Lyttleton a foundling Written by himself,"The Kentish curate; or, the history of Lamuel Lyttleton, a foundling. Written by himself. ...",,,The Kentish curate
17,SC0014,1786,1786,Unknown,Unknown,The adventures of George Maitland Esq In three volumes,"The adventures of George Maitland, Esq. In three volumes. ...",,,"The adventures of George Maitland, Esq"
18,SC0017,1787,1787,Hilditch Ann,"Hilditch, Ann",Rosa de Montmorien A novel By Miss Ann Hilditch In two volumes,Rosa de Montmorien. A novel. By Miss Ann Hilditch. In two volumes. ...,,,Rosa de Montmorien
19,SC0018,1787,1787,Lady,Lady,Edward and Sophia A novel In two volumes By a lady,Edward and Sophia. A novel. In two volumes. By a lady. ...,,,Edward and Sophia
21,SC0097,1792,1783,Lee Sophia,Lee Sophia,The recess or a tale of other times By the author of The chapter of accidents,"The recess, or, A tale of other times",Historical,"Stevens, Anne H. British Historical Fiction Before Scott. Houndmills: Palgrave Macmillan, 2010.",The recess
22,SC0020,1787,1773,Unknown,Unknown,Emma or the unfortunate attachment A sentimental novel In two volumes,"Emma; or, the unfortunate attachment. A sentimental novel. In three volumes. ...",,,Emma
23,SC0021,1788,1788,Author of the Bastard,Author of the Bastard,Death s a friend a novel By the author of the Bastard c c,"Death's a friend, a novel. By the author of the Bastard, &c. &c. ...",,,Death's a friend
24,SC0022,1788,1788,"Blower, Elizabeth","Blower, Elizabeth",Features from life or a summer visit By the author of George Bateman and Maria In two volumes,"Features from life; or, a summer visit. By the author of George Bateman, and Maria. In two volumes. ...",,,Features from life
25,SC0023,1788,1788,Harley M Mrs,"Harley, M., Mrs.",The castle of Mowbray an English romance By the author of St Bernard s priory,"The castle of Mowbray, an English romance. By the author of St. Bernard's priory.",Historical,,"The castle of Mowbray, an English romance"
26,SC0026,1788,1788,Hervey Elizabeth,"Hervey, Elizabeth",Melissa and Marcia or the sisters a novel In two volumes,Melissa and Marcia; or the sisters: a novel. In two volumes. ...,,,Melissa and Marcia
28,SC0045,1789,1788,Lavall e Joseph,"Lavallée, Joseph",Maria Cecilia or life and adventures of the daughter of Achmet III Emperor of the Turks From the French In two volumes,Maria Cecilia: or life and adventures of the daughter of Achmet III. Emperor of the Turks. From the French. In two volumes. ...,,,Maria Cecilia
29,SC0028,1788,1788,Potter John,"Potter, John",Frederic or the libertine including memoirs of the family of Montague a novel In two volumes,"Frederic, or the libertine; including memoirs of the family of Montague: a novel. In two volumes.",,,Frederic
